year,theil_index,cv,between_group_var,within_group_var,bj_mean,hb_mean,overall_mean
2014,0.03265487810294694,0.2451409869144924,2.242154949508559,290.4706667832168,67.535,69.99727272727274,69.61846153846155
2015,0.047481389675232216,0.29313519111575936,1.535625901633338,495.5097437062937,74.255,76.29272727272728,75.97923076923077
2016,0.04321389991850298,0.2800352039127878,0.3965111374639302,374.1246209790209,69.96000000000001,68.92454545454547,69.08384615384617
2017,0.04120760897313758,0.2768507195354939,13.603633505917164,301.5192961538462,58.085,64.14999999999999,63.21692307692308
2018,0.03211658414572673,0.2451896410979058,10.165010819599994,170.9227090909091,49.44,54.68272727272727,53.87615384615385
2019,0.035645987155156524,0.2550742791689228,1.2446586630153054,159.90017482517487,48.09,49.92454545454545,49.642307692307696
2020,0.034402134842304886,0.2507626483862987,2.642714879089439,112.74067797202798,40.255,42.92818181818182,42.51692307692308
2021,0.026003824952655373,0.21728198125684547,0.7319295106117679,74.43472412587411,38.584999999999994,39.99181818181818,39.77538461538461
2022,0.033288707072467234,0.24985766899661624,7.11102995562129,84.33206538461539,33.585,37.97,37.29538461538461
2023,0.02313719417566977,0.20553299630826957,1.0613698255415889,68.2629646853147,38.875,40.56909090909091,40.308461538461536
2024,0.025493083911720123,0.21713430078115414,3.0965722651474525,63.55400419580418,34.58,37.473636363636366,37.02846153846154
