year,pm25,decline_rate,decline_rate_pct,city
2014,72.67,,,保定
2015,105.7,-33.03,-45.452043484243845,保定
2016,91.57,14.13000000000001,13.36802270577106,保定
2017,83.28,8.289999999999992,9.05318335699464,保定
2018,65.77,17.510000000000005,21.025456292026902,保定
2019,59.74,6.029999999999994,9.168313820890974,保定
2020,41.5,18.240000000000002,30.532306662202878,保定
2021,41.06,0.4399999999999977,1.0602409638554162,保定
2022,43.58,-2.519999999999996,-6.137359961032625,保定
2023,45.92,-2.3400000000000034,-5.369435520881146,保定
2024,44.04,1.8800000000000026,4.09407665505227,保定
2014,56.59,,,北京
2015,78.55,-21.959999999999994,-38.805442657713364,北京
2016,70.86,7.689999999999998,9.78994271164863,北京
2017,56.24,14.619999999999997,20.632232571267284,北京
2018,49.53,6.710000000000001,11.931009957325747,北京
2019,42.03,7.5,15.142337976983647,北京
2020,32.49,9.54,22.698072805139184,北京
2021,34.05,-1.5599999999999952,-4.801477377654647,北京
2022,30.17,3.8799999999999955,11.395007342143893,北京
2023,34.5,-4.329999999999998,-14.352005303281398,北京
2024,30.98,3.5199999999999996,10.202898550724635,北京
2014,67.64,,,唐山
2015,83.85,-16.209999999999994,-23.965109402720273,唐山
2016,73.13,10.719999999999999,12.78473464519976,唐山
2017,65.82,7.310000000000002,9.995897716395463,唐山
2018,59.64,6.179999999999993,9.389243391066534,唐山
2019,53.73,5.910000000000004,9.909456740442662,唐山
2020,43.62,10.11,18.816303740926855,唐山
2021,42.34,1.279999999999994,2.9344337459880654,唐山
2022,37.08,5.260000000000005,12.423240434577243,唐山
2023,42.25,-5.170000000000002,-13.942826321467102,唐山
2024,36.9,5.350000000000001,12.662721893491128,唐山
2014,78.48,,,天津
2015,69.96,8.52000000000001,10.856269113149859,天津
2016,69.06,0.8999999999999915,1.2864493996569348,天津
2017,59.93,9.130000000000003,13.22038806834637,天津
2018,49.35,10.579999999999998,17.653929584515264,天津
2019,54.15,-4.799999999999997,-9.726443768996955,天津
2020,48.02,6.1299999999999955,11.320406278855025,天津
2021,43.12,4.900000000000006,10.204081632653072,天津
2022,37.0,6.119999999999997,14.192949907235617,天津
2023,43.25,-6.25,-16.89189189189189,天津
2024,38.18,5.07,11.722543352601157,天津
2014,84.41,,,廊坊
2015,83.96,0.45000000000000284,0.5331121904987595,廊坊
2016,65.19,18.769999999999996,22.355883754168648,廊坊
2017,59.44,5.75,8.820371222580151,廊坊
2018,50.97,8.469999999999999,14.249663526244952,廊坊
2019,46.59,4.3799999999999955,8.593290170688633,廊坊
2020,50.25,-3.6599999999999966,-7.855763039278807,廊坊
2021,45.16,5.090000000000003,10.129353233830853,廊坊
2022,36.42,8.739999999999995,19.353410097431343,廊坊
2023,42.17,-5.75,-15.788028555738604,廊坊
2024,38.03,4.140000000000001,9.817405738676785,廊坊
2014,47.77,,,张家口
2015,33.22,14.550000000000004,30.45844672388529,张家口
2016,31.13,2.09,6.291390728476822,张家口
2017,32.74,-1.610000000000003,-5.171859942177973,张家口
2018,30.93,1.8100000000000023,5.528405620036659,张家口
2019,24.2,6.73,21.758810216618173,张家口
2020,24.31,-0.10999999999999943,-0.4545454545454522,张家口
2021,23.14,1.1699999999999982,4.812834224598923,张家口
2022,17.92,5.219999999999999,22.55834053586862,张家口
2023,21.42,-3.5,-19.531249999999996,张家口
2024,20.48,0.9400000000000013,4.388422035480865,张家口
2014,33.46,,,承德
2015,40.62,-7.159999999999997,-21.398684997011348,承德
2016,37.51,3.1099999999999994,7.656326932545543,承德
2017,33.37,4.140000000000001,11.037056784857374,承德
2018,31.21,2.1599999999999966,6.472879832184588,承德
2019,27.07,4.140000000000001,13.264979173341878,承德
2020,21.76,5.309999999999999,19.61581086073143,承德
2021,21.98,-0.21999999999999886,-1.0110294117647005,承德
2022,26.17,-4.190000000000001,-19.06278434940856,承德
2023,27.75,-1.5799999999999983,-6.037447458922424,承德
2024,23.21,4.539999999999999,16.360360360360357,承德
2014,86.76,,,沧州
2015,69.69,17.070000000000007,19.674965421853397,沧州
2016,67.95,1.7399999999999949,2.496771416272055,沧州
2017,65.5,2.450000000000003,3.6055923473142055,沧州
2018,57.95,7.549999999999997,11.526717557251905,沧州
2019,49.17,8.780000000000001,15.150992234685074,沧州
2020,49.6,-0.4299999999999997,-0.8745169818995316,沧州
2021,43.47,6.130000000000003,12.35887096774194,沧州
2022,39.08,4.390000000000001,10.09891879457097,沧州
2023,44.83,-5.75,-14.71340839303992,沧州
2024,41.2,3.6299999999999955,8.097256301583752,沧州
2014,77.09,,,石家庄
2015,86.58,-9.489999999999995,-12.31028667790893,石家庄
2016,93.72,-7.140000000000001,-8.246708246708248,石家庄
2017,81.18,12.539999999999992,13.380281690140835,石家庄
2018,69.08,12.100000000000009,14.905149051490524,石家庄
2019,61.6,7.479999999999997,10.828025477707003,石家庄
2020,52.96,8.64,14.025974025974028,石家庄
2021,49.53,3.4299999999999997,6.476586102719033,石家庄
2022,46.25,3.280000000000001,6.622249141934184,石家庄
2023,46.25,-0.0,-0.0,石家庄
2024,45.56,0.6899999999999977,1.4918918918918869,石家庄
2014,49.13,,,秦皇岛
2015,46.53,2.6000000000000014,5.292082230816204,秦皇岛
2016,45.24,1.2899999999999991,2.7724049000644726,秦皇岛
2017,42.82,2.4200000000000017,5.349248452696733,秦皇岛
2018,37.48,5.340000000000003,12.470808033629153,秦皇岛
2019,41.48,-4.0,-10.672358591248667,秦皇岛
2020,32.8,8.68,20.92574734811958,秦皇岛
2021,33.24,-0.44000000000000483,-1.3414634146341613,秦皇岛
2022,27.75,5.490000000000002,16.516245487364625,秦皇岛
2023,32.33,-4.579999999999998,-16.5045045045045,秦皇岛
2024,30.87,1.4599999999999973,4.515929477265689,秦皇岛
2014,93.45,,,衡水
2015,98.32,-4.86999999999999,-5.211342964151942,衡水
2016,86.31,12.009999999999991,12.215215622457274,衡水
2017,76.29,10.019999999999996,11.609315258950291,衡水
2018,61.23,15.06000000000001,19.740464018875358,衡水
2019,55.38,5.849999999999994,9.554140127388527,衡水
2020,53.58,1.8000000000000043,3.2502708559046662,衡水
2021,47.65,5.93,11.0675625233296,衡水
2022,43.5,4.149999999999999,8.709338929695695,衡水
2023,45.5,-2.0,-4.597701149425287,衡水
2024,40.97,4.530000000000001,9.956043956043958,衡水
2014,81.58,,,邢台
2015,100.25,-18.67,-22.885511154694782,邢台
2016,85.96,14.290000000000006,14.254364089775567,邢台
2017,80.09,5.86999999999999,6.828757561656573,邢台
2018,68.61,11.480000000000004,14.33387439130978,邢台
2019,64.67,3.9399999999999977,5.742603119078849,邢台
2020,52.56,12.11,18.72583887428483,邢台
2021,46.91,5.650000000000006,10.749619482496204,邢台
2022,48.42,-1.5100000000000051,-3.218929865700288,邢台
2023,47.92,0.5,1.0326311441553075,邢台
2024,44.72,3.200000000000003,6.677796327212025,邢台
2014,76.01,,,邯郸
2015,90.5,-14.489999999999995,-19.063281147217463,邯郸
2016,80.46,10.040000000000006,11.09392265193371,邯郸
