year,moran_i
2014,0.26881048494472276
2015,0.21081096264903107
2016,0.29145898402037784
2017,0.4068309655593614
2018,0.393119599309262
2019,0.34731484902699555
2020,0.2955044197352372
2021,0.2764758447772723
2022,0.4397610504009716
2023,0.32208542384709193
2024,0.37846695095709043
