year,city,Unnamed: 0,env_attention,total_water,avg_u10,avg_v10,tobeijing,totianjin,toshijiazhuang,totangshan,toqinhuangdao,tohandan,toxingtai,tobaoding,tozhangjiakou,tochengde,tocangzhou,tolangfang,tohengshui,煤炭占能源消费总量的比重 (%),石油占能源消费总量的比重 (%),天然气占能源消费总量的比重 (%),一次电力及其他能源占能源总量的比重 (%),pm25,第二产业占比,供气总量
2020,保定,6.0,1.4727002986436615,25.945127,0.3798797020014773,0.09605802771975924,139.6602141164763,152.067834415021,123.10743573977102,249.79165855293184,373.884773369794,264.8938894664534,218.1505693245839,0.0,222.6020919780396,313.8787403705822,134.1276536979083,128.29126868452013,128.07982965128858,-0.8388252107449443,0.9602246198408223,1.0442097445677454,0.6447249796922815,-0.7570865005775882,-0.6781153252787728,-0.2886790189852203
2021,保定,7.0,-0.2653518746585952,31.181438,-0.13217819596993816,-0.48568341613481525,139.6602141164763,152.067834415021,123.10743573977102,249.79165855293184,373.884773369794,264.8938894664534,218.1505693245839,0.0,222.6020919780396,313.8787403705822,134.1276536979083,128.29126868452013,128.07982965128858,-1.057269276043107,0.8161909268647007,1.3468792357468022,0.8954513606837239,-0.7784114806339083,-0.8244221447204804,-0.2971288701118237
2022,保定,8.0,0.34961782981198425,24.563257,0.09303277045828012,0.09508880914747266,139.6602141164763,152.067834415021,123.10743573977102,249.79165855293184,373.884773369794,264.8938894664534,218.1505693245839,0.0,222.6020919780396,313.8787403705822,134.1276536979083,128.29126868452013,128.07982965128858,-1.0791136825729237,0.2400561549601992,1.0442097445677454,1.2178138505298652,-0.6562775039477108,-0.5106325188126085,-0.29335561827240647
2023,保定,9.0,0.48280062192264167,29.538319,0.7160489358941342,0.19082090951007155,139.6602141164763,152.067834415021,123.10743573977102,249.79165855293184,373.884773369794,264.8938894664534,218.1505693245839,0.0,222.6020919780396,313.8787403705822,134.1276536979083,128.29126868452013,128.07982965128858,-1.253868934811455,0.8161909268647007,1.1198771173625093,1.325268013811911,-0.5428673827390984,-0.5327710507018139,-0.2904095890958339
2024,保定,10.0,1.169897672111052,26.775637,-0.31724960543567193,-0.005464068228257927,139.6602141164763,152.067834415021,123.10743573977102,249.79165855293184,373.884773369794,264.8938894664534,218.1505693245839,0.0,222.6020919780396,313.8787403705822,134.1276536979083,128.29126868452013,128.07982965128858,-1.6033794392885141,-0.04801123099204905,1.3468792357468022,2.005811047931542,-0.6339832066161032,-0.7272051133809251,-0.33381847895253197
2010,北京,,0.45276182766635487,,-0.41362261644815823,-0.35198090507679636,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,-0.025736616373332286,-1.8938094894555901,1.9406277354135297
2011,北京,,0.45276182766635487,,-0.41362261644815823,-0.35198090507679636,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,-0.025736616373332286,-1.8938094894555901,1.9406277354135297
2012,北京,,0.45276182766635487,,-0.41362261644815823,-0.35198090507679636,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,-0.025736616373332286,-1.8938094894555901,1.9406277354135297
2013,北京,,0.45276182766635487,,-0.41362261644815823,-0.35198090507679636,,,,,,,,,,,,,,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,-0.025736616373332286,-1.8938094894555901,1.9406277354135297
2014,北京,11.0,0.45276182766635487,15.387095,-0.41362261644815823,-0.35198090507679636,0.0,110.60004565473037,262.1467026760308,156.74983438459066,272.9216009883144,401.3721019534457,356.27968643398646,139.6602141164763,164.46938198421472,175.84668332368332,181.73938686440616,49.43633418401093,249.2233931543373,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,-0.025736616373332286,-1.8938094894555901,1.9406277354135297
